,metallicity,gas disk (Msun),solid disk (Mearth),life time (yr),luminosity,star mass (solar mass)
30282,0.016677463,0.00040737229,55.001363,453474.09,1.196884,0.5
30283,0.013428762,0.0064324282,113.30298,910680.04,0.71689867,0.5
30284,0.022728254,0.00067727723,117.11017,548856.82,1.0930242,0.5
30285,0.0076675907,0.041877843,184.00208,1785312.8,0.43038989,0.5
30286,0.023472761,0.0077621485,83.604889,1564739.0,0.47479885,0.5
30287,0.010598574,0.00069491073,67.061989,503815.39,1.1799893,0.5
30288,0.02469433,0.0033342066,45.876678,1024182.1,0.65315463,0.5
30289,0.02723269,0.01379462,148.67352,1739304.2,0.43833717,0.5
30290,0.023314952,0.001783327,92.688103,712990.59,0.87449499,0.5
30291,0.016775756,0.010750607,84.702935,1567137.7,0.47427929,0.5
30292,0.0061808021,0.011297744,101.35601,875199.0,0.74099656,0.5
30293,0.0097152929,0.037949974,168.52011,1580301.0,0.47145226,0.5
30294,0.018461023,0.02058596,134.55815,2924056.3,0.298362,0.5
30295,0.0074326113,0.033858056,66.778751,5046092.2,0.20235503,0.5
30296,0.010719149,0.0024980705,73.726959,697778.67,0.89231728,0.5
30297,0.019110612,0.030125367,188.1531,3559784.3,0.25762593,0.5
30298,0.010335159,0.032576866,133.73657,2072329.9,0.38536974,0.5
30299,0.011883797,0.03376452,136.3178,3545261.6,0.25845964,0.5
30300,0.018874103,0.018510447,153.64702,2387017.5,0.34664204,0.5
30301,0.021654321,0.00071425623,99.11296,565419.56,1.0669819,0.5
30302,0.021818917,0.0045529645,59.26305,1191872.0,0.58252292,0.5
30303,0.011919635,0.0029235923,170.82495,665314.64,0.92782644,0.5
30304,0.021986875,0.00024175446,22.203072,411033.22,1.196884,0.5
30305,0.005774372,0.11577326,190.29111,5629426.2,0.18783401,0.5
30306,0.014041559,0.0016802551,61.129273,697886.64,0.89203373,0.5
30307,0.013953749,0.0075593813,81.001214,1114503.8,0.61253776,0.5
30308,0.025984123,0.00090917062,157.99014,580218.59,1.043591,0.5
30309,0.0091864215,0.037213192,201.44289,1889245.2,0.41326711,0.5
30310,0.0081264389,0.0153853,116.81536,1067723.8,0.63264656,0.5
